name,BR_x,BR_y,BL_x,BL_y,TL_x,TL_y,TR_x,TR_y
0000.jpg,360.000,580.000,360.000,580.000,360.000,580.000,360.000,580.000
0001.jpg,360.000,580.000,360.000,580.000,360.000,580.000,360.000,580.000
0002.jpg,360.000,580.000,360.000,580.000,360.000,580.000,360.000,580.000
0003.jpg,360.000,580.000,360.000,580.000,360.000,580.000,360.000,580.000
0004.jpg,360.000,580.000,360.000,580.000,360.000,580.000,360.000,580.000
0005.jpg,360.000,580.000,360.000,580.000,360.000,580.000,360.000,580.000
0006.jpg,360.000,580.000,360.000,580.000,360.000,580.000,360.000,580.000
0007.jpg,360.000,580.000,360.000,580.000,360.000,580.000,360.000,580.000
0008.jpg,360.000,580.000,360.000,580.000,360.000,580.000,360.000,580.000
0009.jpg,360.000,580.000,360.000,580.000,360.000,580.000,360.000,580.000
0010.jpg,360.000,580.000,360.000,580.000,360.000,580.000,360.000,580.000
0011.jpg,360.000,580.000,360.000,580.000,360.000,580.000,360.000,580.000
0012.jpg,360.000,580.000,360.000,580.000,360.000,580.000,360.000,580.000
0013.jpg,360.000,580.000,360.000,580.000,360.000,580.000,360.000,580.000
0014.jpg,360.000,580.000,360.000,580.000,360.000,580.000,360.000,580.000
0015.jpg,360.000,580.000,360.000,580.000,360.000,580.000,360.000,580.000
0016.jpg,360.000,580.000,360.000,580.000,360.000,580.000,360.000,580.000
0017.jpg,360.000,580.000,360.000,580.000,360.000,580.000,360.000,580.000
0018.jpg,360.000,580.000,360.000,580.000,360.000,580.000,360.000,580.000
0019.jpg,360.000,580.000,360.000,580.000,360.000,580.000,360.000,580.000
0020.jpg,360.000,580.000,360.000,580.000,360.000,580.000,360.000,580.000
0021.jpg,360.000,580.000,360.000,580.000,360.000,580.000,360.000,580.000
0022.jpg,360.000,580.000,360.000,580.000,360.000,580.000,360.000,580.000
0023.jpg,360.000,580.000,360.000,580.000,360.000,580.000,360.000,580.000
0024.jpg,360.000,580.000,360.000,580.000,360.000,580.000,360.000,580.000
0025.jpg,360.000,580.000,360.000,580.000,360.000,580.000,360.000,580.000
0026.jpg,360.000,580.000,360.000,580.000,360.000,580.000,360.000,580.000
0027.jpg,360.000,580.000,360.000,580.000,360.000,580.000,360.000,580.000
0028.jpg,360.000,580.000,360.000,580.000,360.000,580.000,360.000,580.000
0029.jpg,360.000,580.000,360.000,580.000,360.000,580.000,360.000,580.000
0030.jpg,360.000,580.000,360.000,580.000,360.000,580.000,360.000,580.000
0031.jpg,360.000,580.000,360.000,580.000,360.000,580.000,360.000,580.000
0032.jpg,360.000,580.000,360.000,580.000,360.000,580.000,360.000,580.000
0033.jpg,360.000,580.000,360.000,580.000,360.000,580.000,360.000,580.000
0034.jpg,360.000,580.000,360.000,580.000,360.000,580.000,360.000,580.000
0035.jpg,360.000,580.000,360.000,580.000,360.000,580.000,360.000,580.000
0036.jpg,360.000,580.000,360.000,580.000,360.000,580.000,360.000,580.000
0037.jpg,360.000,580.000,360.000,580.000,360.000,580.000,360.000,580.000
0038.jpg,360.000,580.000,360.000,580.000,360.000,580.000,360.000,580.000
0039.jpg,360.000,580.000,360.000,580.000,360.000,580.000,360.000,580.000
0040.jpg,360.000,580.000,360.000,580.000,360.000,580.000,360.000,580.000
0041.jpg,360.000,580.000,360.000,580.000,360.000,580.000,360.000,580.000
0042.jpg,360.000,580.000,360.000,580.000,360.000,580.000,360.000,580.000
0043.jpg,360.000,580.000,360.000,580.000,360.000,580.000,360.000,580.000
0044.jpg,360.000,580.000,360.000,580.000,360.000,580.000,360.000,580.000
0045.jpg,360.000,580.000,360.000,580.000,360.000,580.000,360.000,580.000
0046.jpg,360.000,580.000,360.000,580.000,360.000,580.000,360.000,580.000
0047.jpg,360.000,580.000,360.000,580.000,360.000,580.000,360.000,580.000
0048.jpg,360.000,580.000,360.000,580.000,360.000,580.000,360.000,580.000
0049.jpg,360.000,580.000,360.000,580.000,360.000,580.000,360.000,580.000
0050.jpg,360.000,580.000,360.000,580.000,360.000,580.000,360.000,580.000
0051.jpg,360.000,580.000,360.000,580.000,360.000,580.000,360.000,580.000
0052.jpg,360.000,580.000,360.000,580.000,360.000,580.000,360.000,580.000
0053.jpg,360.000,580.000,360.000,580.000,360.000,580.000,360.000,580.000
0054.jpg,360.000,580.000,360.000,580.000,360.000,580.000,360.000,580.000
0055.jpg,360.000,580.000,360.000,580.000,360.000,580.000,360.000,580.000
0056.jpg,360.000,580.000,360.000,580.000,360.000,580.000,360.000,580.000
0057.jpg,360.000,580.000,360.000,580.000,360.000,580.000,360.000,580.000
0058.jpg,360.000,580.000,360.000,580.000,360.000,580.000,360.000,580.000
